Page,Titre,Prix,URL,Marque,Etat du véhicule,Année,Puissance fiscale,Boite,Type de carrosserie,Couleur du véhicule,Carburant,Cylindrée,Modèle,Kilométrage
4,Voiture Suzuki s presso,31000DT,https://www.tayara.tn/item/68dfe5bc6c505afdc05d6ca9/Voitures/Monastir/Bekalta/Voiture_Suzuki_s_presso/,Suzuki,Avec kilométrage,2021,1.0,Manuelle,Compacte,Orange,Essence,<1.0L,Celerio,69
4,Citroën C-Elysée 1.2 VTi,19000DT,https://www.tayara.tn/item/68dfe5b86c505afdc05d6ca4/Voitures/Sidi_Bouzid/Meknassy/Citron_CElyse_12_VTi/,Citroen,Avec kilométrage,2014,5,Manuelle,Berline,Gris,Essence,1.2L,C-Elysée,140.000
4,Kia Picanto 1ère main,39500DT,https://www.tayara.tn/item/68dfe5546c505afdc05d6c60/Voitures/Bizerte/Bizerte/Kia_Picanto_1re_main/,Kia,Avec kilométrage,2020,4,Manuelle,Compacte,Gris,Essence,<1.0L,Picanto,87500
4,Avendre Kia picanto première main,33000DT,https://www.tayara.tn/item/68dfe4fe6c505afdc05d6bfe/Voitures/Ariana/La_Soukra/Avendre_Kia_picanto_premire_main/,Kia,Avec kilométrage,2017,4,Manuelle,Compacte,Noir,Essence,1.2L,Picanto,118000
4,A VENDRE,N/A,https://www.tayara.tn/item/68dfe42a6c505afdc05d6b4c/Voitures/Sfax/Route_GREMDA/A_VENDRE/,Iveco,Avec kilométrage,1997,8,Manuelle,Berline,Blanc,Diesel,,Daily,
4,peugeot 308 année 2020,N/A,https://www.tayara.tn/item/68dfe3d5e7035d31a40e7883/Voitures/Sousse/Sousse/peugeot_308_anne_2020/,Peugeot,Avec kilométrage,2020,5,Manuelle,Berline,Blanc,Diesel,1.5L,308,125000
4,clio dynamique,32500DT,https://www.tayara.tn/item/68dfe3336c505afdc05d6a70/Voitures/Tunis/Mutuelleville/clio_dynamique_/,Renault,Avec kilométrage,2016,5,Manuelle,Compacte,Noir,Essence,1.2L,Clio,71000
4,CLIO 5 ESSENCE 2021,N/A,https://www.tayara.tn/item/68dfe28be7035d31a40e7755/Voitures/Sousse/Sousse/CLIO_5_ESSENCE_2021/,Renault,Avec kilométrage,2021,5,Manuelle,Berline,Blanc,Essence,<1.0L,Clio,1040000
4,308 fin 2020 toutes options,N/A,https://www.tayara.tn/item/68dfe283e7035d31a40e774f/Voitures/Sousse/Sousse/308_fin_2020_toutes_options/,Peugeot,Avec kilométrage,2020,5,Manuelle,Berline,Noir,Diesel,1.5L,308 SW,136000
4,megane 4 restylé 2021,N/A,https://www.tayara.tn/item/68dfe2646c505afdc05d69cc/Voitures/Sousse/Sousse/megane_4_restyl_2021/,Renault,Avec kilométrage,2021,6,Manuelle,Berline,Blanc,Diesel,1.5L,Megane,155000
